,,,
Rank,Name,Username,Follower Count
132,Olachi Onuoha,@olachionuoha,376.7K
133,lasisielenu,@lasisielenu8,376.4K
134,John madueke,@madjohny,374.1K
135,Sams,@sams23_,372.9K
136,UJU OKOLI,@officialujuokoli,369.1K
137,Ini,@ini_ubongimoh2,367.6K
138,Omah Lay Daily,@omahlaysdaily,367.6K
139,Joel Iyalla,@joeliyallax,367.3K
140,Sharon_chizzy,@sharon_chizzy0,364.8K
141,Omoyemi Abike,@hairbyire,364K
142,Folashade Ashiru,@shadeokuns,361.5K
143,vikkiices,@vikkiices,355.5K
144,Saratu Gidado,@saratu_daso_,353.6K
145,GIHOE,@forthegoats,353.2K
146,?????????????????e????,@houseofajebo0,350.7K
147,Emmanuel Acho,@emmanuelacho,350.6K
148,Sweet alewa Naana??,@abe.naaa,350K
149,rm_frez,@rm_frez,349.5K
150,TikTok Africa,@tiktok.africa,348.9K
151,Somto Doris ?????,@somtonda2,344.7K
152,CoCo,@mzcoco143,343.7K
153,I_am_tjan,@i_am_tjan,343.2K
154,Bionation,@lyrics_bionation,342.5K
155,DemoLa,@demo_uk,339.8K
156,Vâ??â BT,@nana121318,338.1K
157,REALENOCKDARKO (WATABOMBSHELL),@realenockdarko,335.9K
158,Pharaoh,@thatspharaoh,335.9K
159,WIZKID ??,@bigsolowizzy,334.2K
160,a.a_clown,@a.a_clown,333.4K
161,?????????? ???????????? ??,@aramona_17,331.3K
162,@MR-G-E1,@pureartcomedy,330.1K
163,RealPelmx,@realpelmx100,329K
164,YOUR F4VORITE S4D BOY,@y4moni.00,325.7K
165,trendsettalolly,@trendsettalolly,324.6K
166,KING OF PRANKS,@mcmakopolo1,321.2K
167,Gilmor????????,@gilmorr1,320.2K
168,Princessnaci,@princessnaci124,319.2K
169,Isioma Chanel,@isiomachanel,318.1K
170,The Golden Twins ??,@_thegoldentwins,316.8K
171,Bro Solomon,@laughpillscomedy,310.7K
172,Prince Ned Nwoko,@princenednwoko_,308.6K
173,Osaze Eric Eghosa,@rickiemannie,308.5K
174,Farulee Imam,@farulee12,302.8K
175,Raslynroyal,@raslynroyal,299.3K
176,LESLIE EDWARD,@ohsnapitzzleslie,293.5K
177,Ugonma Nduka,@ugonma.nduka,292.3K
178,Sadiq Ahmed,@sadiqahmed,291.6K
179,TECNO Mobile Nigeria,@tecnomobileng,289.5K
180,Toni Tones,@iamtonitones,289.3K
181,berenabas,@berenabas,287.7K
182,Aisha Ahmad Idris,@aishatulhumairah,287.2K
183,Fortune Onwunali,@chiefikenna,282.8K
184,princess_mufeedah,@princess_mufeedah,282K
185,chiwetalu charity,@luvlyangel8,280.2K
186,doubra agbai,@bayelsababyboy,279.7K
187,joycekalu2,@joycekalu2,277.5K
188,juicy kulia,@juicykulia,276.7K
189,sekzotemmygoldkar,@sekzotemmygoldkar,276.2K
190,Gloria,@globabe7,275.7K
191,Peggy Ovire,@peggyovire,274.1K
192,Jays Eifediyi,@bro_jays,273.4K
193,f41r13x,@f41r13x,268.9K
194,faithiabaloguntv,@faithiabaloguntv,268.8K
195,David Adeleke,@davido.obo.30bg,268.4K
196,8MM_Nichie,@8mm_nichie,268.2K
197,Yul Edochie,@yuledochie1,268.1K
198,luciouslucykijie1,@luciouslucykijie,267.6K
199,Vanshali,@philex_cruise,267.5K
200,??KING OF ACCURACY??,@iamka.reen,266.3K
